from,to,distance_km,vehicle_type,fuel_type,traffic_level,road_type,co2_emission
Indore,Goa,1564,car,electric,high,city,55.31
Mumbai,Coimbatore,1627,bike,electric,high,highway,34.88
Delhi,Lucknow,228,bus,electric,high,highway,5.41
Bangalore,Kolkata,2068,car,electric,medium,rural,44.33
Bhubaneswar,Coimbatore,939,bus,electric,high,city,35.03
Chandigarh,Jaipur,1230,bus,electric,low,highway,44.62
Delhi,Goa,1786,bike,diesel,high,highway,261.8
Bhopal,Ahmedabad,558,car,electric,medium,city,15.73
Delhi,Nagpur,1163,bike,diesel,medium,rural,114.59
Kochi,Ahmedabad,1266,bus,petrol,high,city,272.19
Pune,Madurai,2011,bike,diesel,low,highway,290.62
Goa,Madurai,106,bike,petrol,high,highway,16.13
Ranchi,Lucknow,935,car,petrol,high,highway,184.19
Nagpur,Patna,1569,car,electric,medium,highway,52.03
Hyderabad,Coimbatore,1882,bike,diesel,high,rural,367.55
Lucknow,Jaipur,1662,car,diesel,low,highway,203.61
Delhi,Ahmedabad,1652,bike,electric,medium,city,52.75
Hyderabad,Kolkata,1574,bus,petrol,medium,rural,253.96
Trivandrum,Hyderabad,449,car,petrol,low,rural,51.71
Coimbatore,Jaipur,1850,bike,petrol,low,highway,325.98
Pune,Visakhapatnam,917,car,electric,medium,highway,27.58
Patna,Coimbatore,566,bike,diesel,medium,rural,96.25
Kochi,Bhopal,1435,car,diesel,high,highway,236.82
Pune,Coimbatore,273,bus,diesel,low,city,54.43
Kochi,Madurai,1329,bus,diesel,medium,rural,152.28
Trivandrum,Chennai,2173,bike,diesel,low,rural,422.88
Mumbai,Mysore,1416,bus,electric,medium,rural,43.98
Visakhapatnam,Goa,2148,bus,electric,high,highway,98.8
Bhopal,Goa,2145,bike,petrol,high,highway,436.38
Bhopal,Hyderabad,1690,bike,petrol,high,rural,285.4
Visakhapatnam,Pune,1299,bike,electric,medium,rural,34.21
Nagpur,Ahmedabad,1216,bike,diesel,high,rural,137.1
Chennai,Bhubaneswar,406,bus,petrol,low,highway,51.76
Indore,Pune,1831,car,diesel,high,rural,368.2
Ahmedabad,Bangalore,1569,bike,electric,medium,city,55.27
Chandigarh,Kochi,1100,bike,diesel,high,highway,111.43
Coimbatore,Jaipur,385,bike,diesel,high,highway,55.2
Mysore,Trivandrum,2139,bus,diesel,medium,rural,365.44
Bangalore,Delhi,1870,bus,diesel,low,city,155.97
Kochi,Pune,981,car,electric,low,rural,24.06
Pune,Bhopal,1375,bus,electric,medium,city,50.49
Lucknow,Mysore,269,bus,diesel,medium,city,47.62
Pune,Kolkata,600,bike,petrol,medium,city,83.28
Ahmedabad,Kolkata,1791,bike,petrol,high,city,298.83
Bhubaneswar,Indore,1982,bike,diesel,medium,highway,266.24
Indore,Patna,827,car,electric,low,rural,29.39
Chennai,Bangalore,825,car,diesel,high,highway,144.71
Bhubaneswar,Jaipur,314,bus,diesel,medium,rural,27.83
Trivandrum,Chandigarh,1502,bike,petrol,high,highway,220.9
Pune,Nagpur,1037,bike,petrol,high,rural,235.66
Mumbai,Bhubaneswar,931,bus,electric,high,city,37.05
Bhubaneswar,Bangalore,1548,bus,diesel,high,highway,320.14
Madurai,Pune,2101,bus,petrol,low,highway,309.77
Ahmedabad,Visakhapatnam,1560,bus,electric,high,highway,32.54
Delhi,Bhubaneswar,871,bike,electric,low,city,24.37
Goa,Ranchi,2112,car,electric,high,city,64.39
Chennai,Trivandrum,995,car,petrol,low,rural,96.62
Patna,Bhubaneswar,1003,bus,diesel,medium,rural,200.36
Visakhapatnam,Delhi,981,bus,electric,medium,rural,34.66
Hyderabad,Goa,84,bike,diesel,medium,rural,8.68
Delhi,Lucknow,1442,bus,diesel,high,city,288.26
Kochi,Ranchi,946,bike,electric,high,rural,18.77
Bhubaneswar,Madurai,2083,car,diesel,low,rural,337.77
Ahmedabad,Patna,1469,bus,electric,medium,city,35.08
Patna,Bangalore,291,bike,petrol,high,highway,63.71
Jaipur,Pune,284,car,petrol,high,city,49.83
Bhubaneswar,Lucknow,2199,bike,diesel,high,city,459.14
Pune,Madurai,1070,bus,diesel,high,city,124.75
Hyderabad,Kochi,900,car,petrol,high,highway,200.76
Chennai,Hyderabad,132,car,diesel,medium,rural,19.9
Hyderabad,Madurai,425,car,petrol,high,rural,79.76
Lucknow,Mumbai,2185,car,electric,medium,city,39.23
Nagpur,Bhopal,1613,bus,petrol,high,city,335.27
Ranchi,Chennai,1521,car,petrol,high,rural,358.44
Bhopal,Delhi,372,car,electric,high,highway,7.38
Mysore,Bangalore,859,bus,electric,medium,highway,22.1
Chennai,Goa,261,car,electric,medium,rural,6.86
Patna,Jaipur,515,bike,electric,low,city,16.79
Goa,Ahmedabad,1103,car,diesel,low,city,141.82
Trivandrum,Bhopal,174,car,diesel,medium,city,23.31
Lucknow,Kochi,611,bike,electric,medium,highway,20.06
Madurai,Ranchi,206,car,diesel,high,highway,22.61
Indore,Chennai,1030,car,petrol,medium,city,165.02
Bangalore,Madurai,698,car,petrol,low,city,134.6
Mumbai,Kochi,1117,bus,electric,low,highway,35.34
Chennai,Bhubaneswar,1396,bike,diesel,low,rural,274.6
Coimbatore,Mysore,1988,car,petrol,high,highway,281.19
Bhopal,Patna,1213,bike,petrol,high,city,277.82
Delhi,Trivandrum,84,bus,electric,medium,city,1.77
Patna,Lucknow,915,bike,diesel,medium,city,116.82
Patna,Goa,1073,bus,electric,high,highway,34.17
Delhi,Madurai,875,car,electric,low,city,31.93
Nagpur,Ahmedabad,1005,bus,petrol,medium,rural,87.0
Patna,Kochi,1656,car,electric,medium,city,39.19
Hyderabad,Goa,434,car,diesel,medium,city,52.51
Bhopal,Hyderabad,301,bus,diesel,low,rural,39.23
Madurai,Patna,497,car,electric,medium,city,9.01
Mysore,Coimbatore,1550,bus,electric,high,city,32.09
Chennai,Bhubaneswar,1949,bus,electric,high,highway,73.34
Patna,Bhopal,709,car,diesel,high,rural,121.02
Patna,Chandigarh,878,car,electric,high,rural,17.98
Kolkata,Patna,689,car,electric,medium,rural,12.0
Hyderabad,Lucknow,2192,bike,diesel,high,city,420.55
Mumbai,Ranchi,2174,bike,petrol,low,city,334.74
Mumbai,Mysore,1806,bike,electric,low,city,39.23
Ahmedabad,Visakhapatnam,1494,bike,petrol,low,rural,171.47
Coimbatore,Delhi,158,car,petrol,low,highway,21.54
Mysore,Coimbatore,914,bus,diesel,low,rural,113.0
Patna,Mysore,1806,bus,petrol,low,rural,331.81
Coimbatore,Chennai,855,bus,electric,medium,city,25.12
Chennai,Kochi,1388,bike,petrol,low,city,160.07
Mumbai,Kochi,797,car,electric,high,highway,22.01
Ranchi,Madurai,1135,bus,diesel,high,rural,218.26
Indore,Chennai,909,bus,diesel,low,highway,181.23
Kochi,Chennai,2112,bus,electric,medium,city,59.47
Jaipur,Mysore,1772,car,petrol,low,city,242.25
Pune,Nagpur,774,bus,electric,low,rural,15.14
Trivandrum,Bhubaneswar,603,bike,petrol,low,rural,100.03
Mysore,Kolkata,251,car,diesel,low,rural,44.5
Bhubaneswar,Lucknow,1684,bike,diesel,medium,city,324.7
Ranchi,Delhi,2102,bus,diesel,high,rural,277.61
Bhubaneswar,Ahmedabad,1705,car,petrol,high,highway,206.78
Madurai,Trivandrum,2133,bike,petrol,low,rural,314.74
Madurai,Hyderabad,323,bus,diesel,low,city,51.84
Ranchi,Trivandrum,1744,bike,electric,high,rural,82.51
Goa,Ranchi,875,car,diesel,medium,highway,91.56
Mumbai,Kolkata,672,bus,diesel,medium,highway,59.31
Delhi,Indore,799,car,diesel,medium,rural,80.88
Goa,Jaipur,125,bike,electric,medium,rural,3.12
Mysore,Chennai,125,bike,diesel,medium,city,18.73
Mysore,Trivandrum,2001,car,petrol,high,highway,269.57
Chennai,Hyderabad,339,car,petrol,high,highway,41.03
Chandigarh,Goa,1400,car,electric,low,city,48.36
Kochi,Chennai,1799,bus,electric,high,highway,77.85
Bhubaneswar,Bangalore,1718,car,electric,high,rural,59.04
Madurai,Indore,222,bike,electric,low,highway,6.53
Bangalore,Nagpur,1688,car,diesel,low,highway,208.75
Trivandrum,Bhubaneswar,852,bus,petrol,high,rural,199.58
Patna,Mysore,1700,car,diesel,high,highway,395.06
Mumbai,Kolkata,1644,car,electric,high,highway,65.14
Bhubaneswar,Chandigarh,2000,bus,petrol,high,highway,198.47
Delhi,Jaipur,169,bus,diesel,medium,highway,25.62
Ahmedabad,Coimbatore,1944,bike,petrol,low,highway,257.35
Bangalore,Pune,1878,car,petrol,medium,city,269.27
Trivandrum,Ahmedabad,2009,car,electric,low,highway,50.73
Madurai,Kolkata,999,car,electric,medium,city,34.51
Bhopal,Ranchi,1330,car,diesel,high,highway,129.03
Bhopal,Mysore,1449,bike,diesel,high,highway,232.6
Visakhapatnam,Nagpur,1673,bus,diesel,high,city,261.94
Nagpur,Kochi,2121,bus,petrol,medium,city,387.56
Delhi,Ranchi,221,bike,petrol,high,rural,35.42
Ranchi,Chennai,1445,bike,electric,low,highway,27.9
Kolkata,Madurai,95,bike,petrol,low,rural,8.63
Indore,Mumbai,193,bike,petrol,low,highway,25.96
Visakhapatnam,Chandigarh,135,car,electric,medium,highway,3.18
Ranchi,Jaipur,1935,bike,diesel,low,highway,283.18
Bhubaneswar,Nagpur,1311,bike,petrol,high,highway,132.18
Pune,Lucknow,2052,bike,petrol,medium,rural,324.25
Nagpur,Indore,143,bus,diesel,low,rural,15.81
Visakhapatnam,Pune,945,bike,electric,medium,rural,34.37
Goa,Madurai,1878,car,petrol,low,rural,347.95
Madurai,Kolkata,788,car,petrol,medium,city,157.03
Lucknow,Indore,2096,car,electric,high,rural,96.1
Ahmedabad,Chandigarh,838,bus,petrol,medium,rural,116.1
Indore,Kochi,1458,car,diesel,low,city,204.98
Mumbai,Lucknow,1199,bus,electric,medium,city,38.96
Mumbai,Goa,1254,bike,electric,medium,highway,34.85
Coimbatore,Jaipur,1083,car,diesel,low,rural,213.36
Patna,Ahmedabad,1461,bus,diesel,low,city,206.64
Chennai,Kolkata,775,bus,petrol,medium,rural,65.06
Mumbai,Indore,1802,car,electric,high,highway,41.75
Coimbatore,Kochi,1577,bike,diesel,low,rural,294.81
Goa,Kochi,1040,bus,petrol,medium,rural,133.45
Jaipur,Bhopal,1879,bus,electric,high,highway,72.99
Ahmedabad,Chennai,196,bus,electric,high,rural,4.81
Kolkata,Delhi,1038,car,petrol,low,highway,114.68
Ahmedabad,Visakhapatnam,290,bike,electric,medium,rural,6.81
Bhopal,Delhi,1562,bus,electric,medium,city,52.47
Ahmedabad,Delhi,1758,bike,petrol,high,city,268.31
Coimbatore,Delhi,1802,bike,electric,high,highway,82.07
Chandigarh,Mysore,353,bike,diesel,low,highway,41.06
Kolkata,Patna,1167,bus,diesel,medium,city,139.09
Coimbatore,Lucknow,199,bike,electric,medium,rural,7.03
Coimbatore,Bangalore,239,bus,electric,low,rural,5.21
Chandigarh,Madurai,1520,bus,electric,medium,highway,48.24
Nagpur,Bhopal,788,bike,petrol,low,city,131.06
Mysore,Mumbai,957,bike,diesel,low,city,111.14
Kolkata,Goa,1858,bike,electric,high,highway,69.7
Pune,Mumbai,197,bus,petrol,low,highway,36.51
Mysore,Visakhapatnam,338,bus,electric,low,highway,12.14
Lucknow,Trivandrum,328,car,diesel,high,rural,51.6
Pune,Lucknow,1960,bike,diesel,high,rural,339.73
Visakhapatnam,Bhopal,213,bike,petrol,medium,rural,28.25
Visakhapatnam,Madurai,864,bike,electric,medium,rural,22.17
Trivandrum,Jaipur,708,bike,electric,low,highway,12.1
Bhopal,Kochi,279,bus,diesel,medium,highway,55.27
Mumbai,Madurai,606,bike,diesel,medium,highway,69.2
Kochi,Ranchi,449,car,electric,low,city,17.21
Coimbatore,Indore,261,bike,diesel,medium,highway,29.13
Goa,Kolkata,1633,bus,electric,high,highway,57.68
Coimbatore,Nagpur,1219,bus,diesel,high,city,286.31
Bhopal,Bangalore,1325,bus,electric,medium,rural,34.52
Mysore,Pune,373,bike,petrol,medium,rural,31.27
Delhi,Bhopal,553,bus,petrol,medium,highway,45.12
Visakhapatnam,Chennai,369,bus,petrol,high,highway,75.25
Ahmedabad,Mumbai,1003,bike,electric,high,rural,27.06
Bhopal,Bhubaneswar,1923,bus,electric,medium,city,70.63
Nagpur,Madurai,1585,bike,electric,medium,highway,28.41
Kochi,Ranchi,2135,car,electric,low,rural,46.05
Lucknow,Ahmedabad,229,car,diesel,medium,highway,22.3
Indore,Kochi,1688,bike,petrol,low,highway,206.41
Kolkata,Visakhapatnam,755,bus,petrol,high,rural,151.99
Jaipur,Ahmedabad,80,car,electric,high,rural,2.73
Chandigarh,Patna,1664,bus,electric,low,rural,37.79
Mumbai,Hyderabad,546,car,diesel,low,rural,92.98
Lucknow,Trivandrum,2022,bike,electric,low,city,45.75
Hyderabad,Goa,956,car,petrol,medium,highway,131.41
Ranchi,Chandigarh,1319,car,diesel,low,city,223.98
Mysore,Lucknow,1226,bike,petrol,low,highway,181.06
Madurai,Pune,576,bike,diesel,high,city,92.37
Nagpur,Madurai,1653,bike,petrol,low,highway,226.49
Lucknow,Bhopal,287,bus,diesel,medium,highway,42.5
Visakhapatnam,Hyderabad,1073,car,diesel,medium,highway,199.9
Ahmedabad,Pune,946,car,diesel,low,highway,101.45
Patna,Coimbatore,525,bike,diesel,low,rural,93.74
Lucknow,Kochi,366,bike,petrol,high,city,43.48
Madurai,Ahmedabad,1896,bike,petrol,high,highway,357.93
Nagpur,Goa,832,car,petrol,high,city,101.1
Kolkata,Visakhapatnam,1378,car,diesel,low,highway,145.17
Bangalore,Nagpur,735,bus,electric,low,highway,17.22
Ranchi,Trivandrum,1355,bus,diesel,high,rural,221.6
Mysore,Delhi,1387,bus,diesel,high,city,169.33
Mumbai,Delhi,1953,bus,electric,high,city,74.03
Lucknow,Pune,1499,bike,petrol,low,rural,215.15
Mumbai,Kolkata,1854,bus,electric,medium,highway,64.7
Ahmedabad,Chennai,1862,car,diesel,medium,rural,322.4
Chandigarh,Patna,511,car,petrol,low,rural,78.74
Visakhapatnam,Coimbatore,585,bike,diesel,high,highway,82.07
Mysore,Bhopal,1371,bike,petrol,low,city,191.39
Chennai,Nagpur,986,car,electric,low,city,38.4
Lucknow,Goa,648,car,diesel,medium,highway,123.53
Kolkata,Pune,111,bus,diesel,low,rural,21.79
Bhopal,Indore,1912,car,petrol,medium,highway,231.35
Ahmedabad,Nagpur,1542,bus,petrol,high,city,191.89
Chandigarh,Pune,1900,car,diesel,high,city,253.66
Ahmedabad,Bangalore,1390,car,electric,low,highway,42.21
Indore,Chandigarh,1551,car,petrol,low,city,170.18
Chennai,Bhubaneswar,1787,bike,electric,medium,rural,51.61
Madurai,Mysore,1167,car,electric,medium,highway,41.95
Nagpur,Bhopal,385,bus,electric,medium,city,7.34
Nagpur,Bhopal,890,bike,petrol,low,highway,100.92
Jaipur,Nagpur,1451,bike,electric,medium,rural,50.37
Nagpur,Kolkata,562,car,electric,medium,rural,21.42
Trivandrum,Nagpur,1291,bus,petrol,medium,city,131.44
Mysore,Nagpur,1520,bus,electric,high,highway,59.98
Bangalore,Pune,873,bike,electric,medium,rural,33.38
Delhi,Kochi,997,bike,petrol,low,city,85.82
Trivandrum,Chandigarh,655,bike,diesel,low,rural,99.02
Ahmedabad,Visakhapatnam,1352,bike,diesel,low,highway,223.97
Chennai,Trivandrum,97,bus,diesel,low,city,13.99
Mysore,Madurai,895,bike,petrol,medium,highway,145.37
Mysore,Bhopal,1102,car,diesel,high,city,203.87
Goa,Trivandrum,586,bus,electric,medium,rural,17.36
Ahmedabad,Coimbatore,2116,car,electric,high,highway,44.56
Patna,Trivandrum,152,car,electric,low,city,2.74
Indore,Mysore,845,bus,electric,high,city,27.49
Goa,Bhubaneswar,357,car,diesel,medium,city,43.73
Trivandrum,Chennai,1842,car,electric,low,city,47.06
Bhopal,Mysore,102,bike,diesel,low,rural,19.8
Ranchi,Chennai,188,bus,diesel,medium,city,20.41
Mumbai,Indore,1826,car,diesel,high,rural,257.88
Bhopal,Bangalore,1076,bike,diesel,high,highway,205.36
Kolkata,Bangalore,1431,car,electric,medium,rural,23.07
Bangalore,Pune,152,bike,electric,low,city,5.7
Goa,Mysore,1084,bus,electric,medium,rural,25.66
Kochi,Pune,1012,car,diesel,low,highway,194.62
Kochi,Jaipur,1843,bike,electric,medium,rural,48.16
Madurai,Trivandrum,1295,bike,electric,low,rural,26.87
Lucknow,Madurai,1321,bus,diesel,medium,rural,156.28
Lucknow,Kochi,734,car,electric,low,highway,16.84
Kochi,Ranchi,576,car,diesel,medium,rural,60.38
Coimbatore,Patna,638,bus,petrol,medium,highway,105.2
Mumbai,Lucknow,1002,bus,petrol,low,highway,185.96
Ranchi,Nagpur,731,bus,electric,medium,highway,21.38
Mysore,Kochi,1300,bus,diesel,low,highway,148.52
Ahmedabad,Kochi,1953,bus,diesel,low,city,352.39
Hyderabad,Madurai,1785,bike,diesel,high,city,197.53
Ahmedabad,Delhi,303,bike,electric,low,city,9.01
Mumbai,Kochi,1599,bus,petrol,low,rural,215.46
Ahmedabad,Chennai,233,bike,electric,low,rural,7.37
Chandigarh,Hyderabad,1129,bike,diesel,high,highway,148.32
Chandigarh,Visakhapatnam,2080,car,electric,high,rural,64.99
Jaipur,Mumbai,869,bike,diesel,medium,rural,136.09
Kolkata,Coimbatore,2114,bus,diesel,low,city,407.22
Ranchi,Visakhapatnam,1674,bus,petrol,low,rural,326.11
Bangalore,Bhubaneswar,659,bike,petrol,low,city,70.93
Hyderabad,Visakhapatnam,1865,bus,diesel,medium,rural,198.54
Patna,Delhi,1383,bus,electric,medium,rural,45.66
Pune,Jaipur,370,bus,diesel,low,rural,69.88
Patna,Trivandrum,906,bike,diesel,high,highway,132.22
Chandigarh,Visakhapatnam,2165,bike,electric,high,highway,46.9
Patna,Lucknow,1593,car,electric,low,city,60.72
Trivandrum,Goa,501,bus,petrol,low,rural,81.77
Ranchi,Patna,106,bike,diesel,low,highway,9.85
Chennai,Patna,272,car,electric,low,city,6.97
Goa,Hyderabad,244,bike,electric,medium,city,7.67
Ahmedabad,Pune,1627,bus,electric,medium,rural,45.07
Trivandrum,Patna,1167,bus,diesel,medium,city,194.97
Patna,Chennai,526,bus,diesel,low,rural,73.41
Delhi,Kolkata,1367,bus,diesel,medium,city,170.95
Coimbatore,Delhi,625,car,petrol,low,rural,50.07
Kochi,Patna,333,bike,electric,medium,highway,9.57
Kolkata,Jaipur,791,car,electric,low,highway,16.53
Nagpur,Patna,855,bike,petrol,medium,rural,97.2
Delhi,Indore,463,car,diesel,low,rural,79.53
Ahmedabad,Visakhapatnam,1868,bike,electric,medium,rural,59.8
Pune,Madurai,373,bike,diesel,medium,city,56.85
Bangalore,Kolkata,531,bus,diesel,high,city,59.48
Pune,Delhi,351,bus,diesel,low,highway,30.16
Bangalore,Ahmedabad,1473,bike,diesel,medium,rural,189.05
Nagpur,Mysore,106,bike,electric,medium,rural,1.72
Bhubaneswar,Bhopal,640,bus,petrol,low,city,93.14
Kochi,Ahmedabad,1950,bus,petrol,high,highway,280.48
Patna,Delhi,917,car,diesel,medium,city,81.42
Mysore,Patna,331,bike,electric,high,city,13.31
Nagpur,Bhopal,863,bike,electric,medium,highway,26.15
Lucknow,Delhi,810,car,electric,medium,rural,27.87
Mysore,Mumbai,1800,bus,diesel,high,highway,332.01
Kolkata,Coimbatore,1074,car,electric,high,highway,39.22
Bhopal,Ranchi,547,bus,electric,high,city,15.55
Goa,Delhi,556,bus,electric,high,rural,21.27
Visakhapatnam,Goa,491,car,petrol,low,city,79.88
Mysore,Hyderabad,2182,car,diesel,high,highway,285.6
Pune,Indore,1743,bus,petrol,high,rural,416.93
Hyderabad,Ahmedabad,976,car,electric,high,city,42.35
Nagpur,Bhubaneswar,735,bus,petrol,low,rural,66.83
Madurai,Bhopal,470,car,electric,low,rural,8.31
Delhi,Mysore,2074,bus,diesel,medium,rural,178.05
Pune,Ahmedabad,191,car,diesel,high,rural,36.5
Bangalore,Delhi,1073,bus,diesel,medium,city,185.16
Kolkata,Coimbatore,1431,bike,electric,medium,highway,36.97
Chennai,Hyderabad,2001,bus,petrol,low,highway,199.22
Trivandrum,Indore,848,bus,diesel,medium,rural,94.58
Hyderabad,Ahmedabad,822,bike,electric,low,highway,23.29
Ranchi,Lucknow,1449,bus,electric,low,rural,48.86
Ranchi,Hyderabad,1104,bike,petrol,medium,rural,211.01
Kochi,Ahmedabad,423,bike,diesel,medium,highway,51.85
Mumbai,Bangalore,190,car,electric,medium,highway,7.11
Visakhapatnam,Lucknow,1519,car,petrol,low,city,226.56
Nagpur,Bhopal,1238,car,diesel,medium,highway,174.68
Patna,Bhubaneswar,1513,bus,petrol,medium,highway,186.34
Kolkata,Kochi,1170,car,petrol,low,city,145.34
Trivandrum,Kochi,438,bus,electric,medium,city,13.18
Kochi,Bhubaneswar,703,car,petrol,medium,highway,136.96
Goa,Kolkata,379,bike,electric,medium,rural,6.46
Delhi,Ranchi,229,bus,diesel,medium,highway,43.27
Coimbatore,Lucknow,965,bus,electric,medium,city,18.56
Bhubaneswar,Nagpur,2104,bike,diesel,high,highway,477.32
Nagpur,Coimbatore,1503,bus,petrol,high,highway,195.76
Madurai,Delhi,821,bike,electric,medium,city,14.56
Kolkata,Patna,1573,bike,electric,high,city,35.96
Goa,Trivandrum,1316,bus,petrol,medium,highway,114.49
Kochi,Indore,1881,bike,diesel,medium,highway,258.65
Mysore,Goa,1045,bike,petrol,high,highway,144.8
Mysore,Chennai,1593,bus,petrol,low,rural,216.44
Lucknow,Delhi,478,bus,electric,medium,highway,11.23
Goa,Lucknow,1252,bike,electric,high,rural,39.87
Lucknow,Kolkata,1536,bike,petrol,medium,rural,230.66
Ranchi,Chandigarh,1731,bike,electric,low,highway,32.62
Delhi,Hyderabad,1871,car,diesel,high,rural,400.09
Bhopal,Trivandrum,1163,car,diesel,low,highway,210.28
Kolkata,Pune,924,bike,diesel,medium,city,88.5
Trivandrum,Kolkata,974,bus,petrol,medium,city,95.92
Madurai,Lucknow,781,bike,petrol,high,city,110.3
Nagpur,Kochi,1209,car,electric,high,rural,57.98
Mysore,Trivandrum,470,car,petrol,high,city,55.61
Bhubaneswar,Mysore,501,bus,petrol,low,city,98.09
Mysore,Bhopal,1239,bus,petrol,high,highway,172.58
Mysore,Bhopal,1665,bike,petrol,medium,city,266.37
Mysore,Patna,1513,bus,petrol,high,city,188.27
Lucknow,Coimbatore,1447,bus,diesel,medium,highway,212.64
Chandigarh,Delhi,1395,bike,electric,medium,highway,42.95
Jaipur,Kochi,826,car,petrol,medium,rural,113.39
Jaipur,Pune,260,bus,petrol,high,rural,39.87
Lucknow,Ahmedabad,1570,car,petrol,medium,rural,279.23
Ranchi,Chennai,1974,car,diesel,medium,rural,371.17
Kochi,Mumbai,1433,car,petrol,low,city,202.88
Bhopal,Bangalore,2126,car,electric,high,rural,68.15
Mumbai,Visakhapatnam,421,car,electric,medium,city,14.2
Hyderabad,Chennai,1508,bus,electric,medium,city,25.96
Bhopal,Ranchi,1583,bike,petrol,medium,highway,154.2
Mumbai,Pune,1939,bike,diesel,low,rural,251.06
Mysore,Trivandrum,1792,bus,petrol,medium,rural,307.25
Hyderabad,Ranchi,1480,bus,electric,high,city,28.96
Kolkata,Indore,1285,bike,petrol,low,rural,256.53
Pune,Ranchi,2148,bike,petrol,medium,rural,346.42
Ahmedabad,Chandigarh,139,bus,electric,medium,rural,5.26
Pune,Trivandrum,1025,bike,electric,high,highway,43.59
Lucknow,Coimbatore,2174,bike,diesel,high,rural,299.33
Chandigarh,Mumbai,1978,car,electric,medium,city,62.23
Jaipur,Pune,1267,bike,petrol,high,rural,265.3
Hyderabad,Lucknow,797,bike,electric,low,highway,13.31
Nagpur,Patna,1535,car,electric,low,rural,41.75
Indore,Nagpur,1442,bus,petrol,medium,rural,275.71
Ranchi,Chennai,791,bus,petrol,high,city,152.87
Mumbai,Chennai,1002,car,petrol,high,city,210.9
Ahmedabad,Mysore,1614,bus,diesel,high,highway,371.19
Kolkata,Jaipur,704,bus,electric,medium,city,26.71
Goa,Ahmedabad,529,bike,petrol,low,highway,98.01
Chennai,Kolkata,722,car,electric,high,rural,20.21
Ahmedabad,Bhubaneswar,2151,car,electric,medium,rural,41.47
Mysore,Visakhapatnam,1625,bus,electric,high,highway,51.79
Lucknow,Chandigarh,883,car,petrol,high,highway,104.01
Trivandrum,Ranchi,1489,bike,electric,high,city,52.98
Mysore,Hyderabad,958,bus,diesel,low,rural,172.84
Lucknow,Chennai,1367,bus,petrol,medium,city,165.17
Bhubaneswar,Mysore,1621,bus,electric,high,city,38.11
Delhi,Chandigarh,334,car,diesel,medium,highway,57.1
Bhopal,Jaipur,1643,bus,electric,low,rural,34.42
Ahmedabad,Madurai,2024,car,petrol,high,city,359.82
Pune,Jaipur,1182,bike,petrol,medium,rural,219.24
Ahmedabad,Patna,1289,bike,diesel,high,rural,295.95
Coimbatore,Nagpur,1477,car,electric,medium,highway,40.82
Jaipur,Kochi,338,bus,petrol,medium,rural,64.88
Bangalore,Jaipur,1327,car,petrol,high,city,313.21
Nagpur,Chandigarh,681,bike,diesel,low,city,71.94
Mumbai,Hyderabad,1427,car,diesel,medium,rural,131.84
Nagpur,Lucknow,1545,bus,electric,high,city,42.65
Coimbatore,Mysore,1965,bike,diesel,low,city,196.68
Madurai,Indore,2131,bus,petrol,low,city,336.76
Kochi,Delhi,1895,bike,diesel,medium,highway,223.04
Kochi,Bangalore,2159,bike,electric,high,rural,49.69
Ahmedabad,Jaipur,305,car,diesel,low,highway,48.09
Goa,Madurai,1527,bus,electric,high,highway,50.68
Goa,Hyderabad,812,car,petrol,low,highway,116.95
Trivandrum,Chennai,2012,car,electric,high,rural,52.47
Mumbai,Chennai,1318,bus,diesel,high,rural,133.22
Trivandrum,Mysore,2128,car,petrol,medium,city,416.3
Ranchi,Indore,1379,bus,petrol,medium,rural,148.46
Ranchi,Madurai,777,bus,petrol,high,rural,103.17
Kochi,Lucknow,1021,car,diesel,high,rural,175.08
Chennai,Madurai,2075,bike,diesel,high,city,308.44
Trivandrum,Bhubaneswar,1952,car,electric,low,rural,74.97
Bangalore,Patna,1410,bike,petrol,low,city,210.9
Coimbatore,Chandigarh,690,bike,petrol,medium,city,55.95
Lucknow,Ahmedabad,2029,bus,electric,low,highway,35.43
Lucknow,Hyderabad,890,car,petrol,low,city,97.99
Lucknow,Chennai,423,bus,petrol,low,city,49.21
Bhubaneswar,Patna,428,car,electric,low,highway,6.85
Bhubaneswar,Kolkata,393,bus,petrol,low,city,54.75
Madurai,Jaipur,541,bike,petrol,low,highway,105.43
Patna,Delhi,229,bike,petrol,medium,city,31.11
Ahmedabad,Lucknow,497,car,petrol,high,city,103.13
Patna,Mumbai,890,bike,diesel,low,highway,139.21
Bhubaneswar,Jaipur,2121,bike,electric,high,rural,55.93
Goa,Hyderabad,160,car,petrol,high,highway,30.83
Chandigarh,Hyderabad,1956,bike,petrol,low,city,208.48
Bangalore,Bhopal,690,bus,electric,low,highway,15.76
Mysore,Chennai,1676,bus,petrol,medium,rural,213.2
Visakhapatnam,Ahmedabad,1193,bus,electric,medium,rural,27.86
Ranchi,Goa,721,car,diesel,high,city,85.31
Delhi,Patna,1364,bike,petrol,low,city,173.95
Pune,Kolkata,1645,car,electric,medium,rural,61.84
Chandigarh,Coimbatore,1382,bus,electric,high,rural,57.19
Bangalore,Madurai,1451,bike,petrol,medium,city,120.86
Indore,Bhopal,717,bus,electric,medium,rural,13.11
Chandigarh,Delhi,1315,bus,diesel,medium,city,211.93
Chennai,Kochi,354,car,electric,high,highway,11.87
Madurai,Ranchi,1914,car,electric,medium,rural,52.33
Ahmedabad,Chennai,295,bus,diesel,medium,city,28.23
